357.54,,,,,,,,,
356.44,,,,,,,,,
358.1,,,,,,,,,
352.03,,,,,,,,,
353.13,,,,,,,,,
350.37,,,,,,,,,
345.96,,,,,,,,,
352.58,,,,,,,,,
360.85,,,,,,,,,
360.85,,,,,3.31,,,,
359.2,,,,,2.76,,,,1
355.89,355.245,,,,-2.21,,,,2
352.03,354.7858333,,,,0,,,,0
350.37,354.28,,,,-2.76,,,,2
348.16,353.4516667,,,,-2.21,,,,2
341.54,352.5775,,,,-4.42,,,,2
352.58,352.5316667,,,,0,,,,0
352.58,352.7158333,,,,-8.27,,,,2
354.79,353.4516667,,,,-6.06,,,,2
361.41,354.1875,,,,2.21,,,,1
360.85,354.1875,,,,4.96,,,,1
361.96,354.28,,,,9.93,,,,1
361.96,354.51,,,,11.59,,,,1
358.65,354.74,,-0.009144657,,10.49,,2,,1
357.54,355.1991667,,-0.012211294,,16,,2,,1
363.61,356.3025,355.4219231,0.004558515,,11.03,1,2,,1
369.13,358.05,355.8676923,0.015181101,,16.55,1,2,,1
370.23,360.4408333,356.3980769,0.00297998,,15.44,1,2,,1
371.34,362.0041667,356.9073077,0.002998136,0.021556031,9.93,1,2,1,1
374.65,363.8433333,357.7773077,0.008913664,0.024517417,13.8,1,2,1,1
380.17,365.9583333,358.8173077,0.014733752,0.028431355,18.21,1,2,1,1
386.24,368.0275,360.1969231,0.015966541,0.031960119,24.28,1,2,1,1
388.99,370.3725,361.8519231,0.007119925,0.035394179,30.34,1,2,1,1
391.75,372.855,363.3584615,0.007095298,0.037765178,34.21,1,2,1,1
391.2,375.2916667,364.5257692,-0.001403957,0.038121388,27.59,1,2,1,1
385.68,377.5441667,365.4807692,-0.015494576,0.039164287,16.55,1,2,1,1
387.89,380.0733333,366.5842308,-0.009853223,0.04041355,17.66,1,2,1,1
387.34,382.0508333,367.7938462,-0.011257179,0.041479017,16,1,2,1,1
387.34,383.5683333,369.1519231,-0.011257179,0.043426121,12.69,1,2,1,1
395.62,385.6841667,370.8923077,0.009878749,0.04407389,15.45,1,2,1,1
390.65,387.2933333,372.5265385,-0.01256256,0.04356282,4.41,1,2,1,1
386.24,388.2591667,374.2457692,-0.02370962,0.042903185,-2.75,1,1,1,2
389.55,389.0408333,375.6676923,-0.015343006,0.041264635,-2.2,1,2,1,2
385.68,388.9941667,376.9407692,-0.02512512,0.038162916,-5.52,1,1,1,2
388.99,388.9941667,378.2561538,-0.016758506,0.036396006,3.31,1,2,1,1
385.68,388.4883333,379.1896154,-0.02512512,0.034386248,-2.21,1,1,1,2
386.79,388.1208333,380.1873077,-0.022319397,0.032414431,-0.55,1,1,1,2
386.79,388.2133333,381.1423077,-0.022319397,0.031235672,-0.55,1,1,1,2
386.79,388.1216667,382.0973077,-0.022319397,0.030507474,-8.83,1,1,1,2
395.62,388.8116667,383.5192308,0,0.029553153,4.97,1,2,1,1
395.06,389.455,384.9623077,-0.0014155,0.029153552,8.82,1,2,1,1
402.24,390.0066667,386.4480769,0.016733229,0.027560103,12.69,1,2,1,1
402.24,390.9725,387.7215385,0,0.025198545,16.56,1,2,1,1
403.89,392.4433333,389.0161538,0.004102029,0.023608651,14.9,1,2,1,1
403.89,393.6383333,390.2680769,0,0.022126004,18.21,1,2,1,1
399.48,394.7883333,391.2230769,-0.010918815,0.020213029,12.69,1,2,1,1
396.72,395.4325,391.8596154,-0.017752358,0.017972411,9.93,1,2,2,1
387.34,395.5708333,391.9019231,-0.040976504,0.016152216,0.55,1,1,2,1
